INFO 2018-08-22 16:08:33,306 basehttp 124 "GET / HTTP/1.1" 200 11936
INFO 2018-08-22 16:08:43,040 basehttp 124 "GET /article/5 HTTP/1.1" 200 9704
INFO 2018-08-22 16:08:50,670 basehttp 124 "POST /comment HTTP/1.1" 200 199
INFO 2018-08-22 16:08:50,758 basehttp 124 "GET /article/5 HTTP/1.1" 200 10845
INFO 2018-08-22 16:08:50,786 basehttp 124 "GET /static/images/icon/icon.png HTTP/1.1" 304 0
INFO 2018-08-22 16:08:58,748 basehttp 124 "GET /article/tag/1 HTTP/1.1" 200 11400
INFO 2018-08-22 16:09:16,200 basehttp 124 "GET /search/?q=hello&search= HTTP/1.1" 200 11711
INFO 2018-08-22 16:09:26,183 basehttp 124 "GET /article/blog HTTP/1.1" 200 6858
INFO 2018-08-22 16:09:26,491 basehttp 124 "GET /article/blogdata?page=1 HTTP/1.1" 200 1243
INFO 2018-08-22 16:09:33,940 basehttp 124 "GET /article/archives HTTP/1.1" 200 8519
INFO 2018-08-22 16:09:49,097 basehttp 124 "GET /blogadmin/ HTTP/1.1" 200 17528
INFO 2018-08-22 16:09:49,216 basehttp 124 "GET /blogadmin/jsi18n/ HTTP/1.1" 200 4753
WARNING 2018-08-22 16:09:49,492 base 152 Not Found: /favicon.ico
WARNING 2018-08-22 16:09:49,494 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 4580
INFO 2018-08-22 16:11:54,025 basehttp 124 "GET /blogadmin/ HTTP/1.1" 200 17528
INFO 2018-08-22 16:11:54,120 basehttp 124 "GET /blogadmin/jsi18n/ HTTP/1.1" 200 4753
INFO 2018-08-22 16:11:59,909 basehttp 124 "GET /blogadmin/ HTTP/1.1" 200 17528
INFO 2018-08-22 16:12:00,029 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2018-08-22 16:12:00,044 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2018-08-22 16:12:00,044 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8324
INFO 2018-08-22 16:12:00,050 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2018-08-22 16:12:00,054 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2018-08-22 16:12:00,059 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2018-08-22 16:12:00,099 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2018-08-22 16:12:00,158 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2018-08-22 16:12:00,159 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2018-08-22 16:12:00,161 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2018-08-22 16:12:00,163 basehttp 124 "GET /blogadmin/jsi18n/ HTTP/1.1" 200 4753
INFO 2018-08-22 16:12:00,168 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2018-08-22 16:12:00,171 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2018-08-22 16:12:00,206 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2018-08-22 16:12:00,224 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2018-08-22 16:12:00,226 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2018-08-22 16:12:00,233 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
INFO 2018-08-22 16:12:00,237 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2018-08-22 16:12:00,253 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2018-08-22 16:12:00,254 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2018-08-22 16:12:00,338 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
INFO 2018-08-22 16:50:16,251 basehttp 124 "GET /blogadmin/ HTTP/1.1" 200 17528
INFO 2018-08-22 16:50:16,384 basehttp 124 "GET /blogadmin/jsi18n/ HTTP/1.1" 200 4753
INFO 2018-08-22 16:53:18,091 basehttp 124 "GET /blogadmin/ HTTP/1.1" 200 17528
INFO 2018-08-22 16:53:18,123 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8324
INFO 2018-08-22 16:53:18,124 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2018-08-22 16:53:18,135 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2018-08-22 16:53:18,140 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2018-08-22 16:53:18,157 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2018-08-22 16:53:18,160 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2018-08-22 16:53:18,161 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2018-08-22 16:53:18,173 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2018-08-22 16:53:18,214 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2018-08-22 16:53:18,215 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2018-08-22 16:53:18,227 basehttp 124 "GET /blogadmin/jsi18n/ HTTP/1.1" 200 4753
INFO 2018-08-22 16:53:18,231 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2018-08-22 16:53:18,233 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2018-08-22 16:53:18,240 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2018-08-22 16:53:18,242 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2018-08-22 16:53:18,249 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
